,question,answer
591,What is contour ploughing?,Contour ploughing is ploughing along the contour lines to decelerate the flow of water down the slopes.
592,What is terrace cultivation?,Terrace cultivation involves cutting steps out on slopes to restrict erosion.
593,Where is terrace farming well developed?,Terrace farming is well developed in the western and central Himalayas.
594,What is strip cropping?,Strip cropping is a method where large fields are divided into strips with grass left to grow between the crops to break up the force of the wind.
595,What are shelter belts?,Shelter belts are rows of trees planted to create shelter and help stabilize sand dunes and deserts.
596,How do shelter belts contribute to the environment?,Shelter belts contribute significantly to the stabilization of sand dunes and in stabilizing the desert in western India.
597,What is the effect of ploughing in the wrong way?,"Ploughing in the wrong way can lead to the formation of channels for quick water flow, resulting in soil erosion."
598,What is the main consequence of soil erosion on land?,The main consequence of soil erosion on land is that it becomes unfit for cultivation.
599,What is the relationship between soil formation and erosion?,The processes of soil formation and erosion go on simultaneously and generally there is a balance between the two.
600,What can be done to prevent soil erosion on slopes?,"To prevent soil erosion on slopes, methods like contour ploughing, terrace cultivation, and planting shelter belts can be used."
601,What can be termed as 'Resource'?,"Everything available in our environment which can be used to satisfy our needs, provided it is technologically accessible, economically feasible, and culturally acceptable."
602,"What is the relationship between nature, technology, and institutions in resource transformation?","The process of transformation of things available in our environment involves an interactive relationship between nature, technology, and institutions."
603,Are resources considered free gifts of nature?,"No, resources are not free gifts of nature; they are a function of human activities."
604,Who are considered essential components of resources?,Human beings are considered essential components of resources.
605,How do human beings interact with nature?,Human beings interact with nature through technology.
606,What are the classifications of resources based on origin?,Resources can be classified as biotic and abiotic based on origin.
607,What are the two categories of resources based on exhaustibility?,Resources can be classified as renewable and non-renewable based on exhaustibility.
608,How can resources be classified based on ownership?,"Resources can be classified as individual, community, national, and international based on ownership."
609,What are the classifications of resources based on the status of development?,"Resources can be classified as potential, developed stock, and reserves based on the status of development."
610,What is the role of institutions in economic development?,Institutions are created to accelerate economic development.
611,What is the significance of technology in resource transformation?,Technology facilitates the interaction between human beings and nature to transform available materials into resources.
612,Can you name the two types of resources based on their origin?,Biotic and abiotic resources.
613,What are potential resources?,Potential resources are those that are not yet developed but have the capacity to be utilized in the future.
614,What distinguishes developed stock from reserves?,"Developed stock refers to resources that are currently being used, while reserves are resources that are known to exist but are not currently being utilized."
615,What is an example of a biotic resource?,An example of a biotic resource is timber from trees.
616,What is an example of an abiotic resource?,An example of an abiotic resource is minerals.
617,What does it mean for a resource to be renewable?,A renewable resource is one that can be replenished naturally over time.
618,What does it mean for a resource to be non-renewable?,A non-renewable resource is one that cannot be replenished within a human timescale once it is depleted.
619,How do human activities influence the classification of resources?,"Human activities determine how materials are transformed into resources and how they are classified based on origin, exhaustibility, ownership, and development status."
620,What is the interactive relationship depicted in Fig. 1.1?,"The interactive relationship between nature, technology, and institutions."
621,What is depicted in Fig. 1.2?,The classification of resources.
622,Why are resources considered vital for human survival?,Resources are vital for human survival as well as for maintaining the quality of life.
623,What has led to the depletion of resources according to the context?,The depletion of resources has been caused by the indiscriminate use of resources by human beings to satisfy the greed of a few individuals.
624,What are the two segments of society created by the accumulation of resources in few hands?,The accumulation of resources in few hands has divided society into two segments: haves and have nots or rich and poor.
625,What global ecological crises have resulted from the indiscriminate exploitation of resources?,"Indiscriminate exploitation of resources has led to global ecological crises such as global warming, ozone layer depletion, environmental pollution, and land degradation."
626,What is essential for a sustained quality of life and global peace?,An equitable distribution of resources is essential for a sustained quality of life and global peace.
627,What is the consequence if the trend of resource depletion continues?,"If the present trend of resource depletion continues, the future of our planet is in danger."
628,What does sustainable development mean?,Sustainable development means that development should take place without damaging the environment and should not compromise the needs of future generations.
629,What significant event took place in June 1992 in Rio de Janeiro?,"In June 1992, more than 100 heads of states met in Rio de Janeiro for the first International Earth Summit."
630,What was the main purpose of the Rio de Janeiro Earth Summit?,The Summit was convened to address urgent problems of environmental protection and socio-economic development at the global level.
631,What declaration did the assembled leaders sign at the Earth Summit?,The assembled leaders signed the Declaration on Global Climatic Change and Biological Diversity.
632,What is Agenda 21?,"Agenda 21 is a declaration signed by world leaders in 1992 at the United Nations Conference on Environment and Development, aiming at achieving global sustainable development."
633,What is one major objective of Agenda 21?,One major objective of Agenda 21 is that every local government should draw its own local Agenda 21.
634,Why is resource planning important in a country like India?,Resource planning is important in India due to the enormous diversity in the availability of resources.
635,What is the importance of planning in resource management?,Planning is a widely accepted strategy for the judicious use of resources.
636,What should be investigated in a survey about recycling in a community?,The survey should investigate people's attitudes towards recycling of domestic/agricultural wastes.
637,What question can be asked about people's opinion on the resources they use?,What do they think about the resources they use?
638,What question can be asked regarding people's opinion on waste utilization?,What is their opinion about the wastes and its utilisation?
639,What does the context suggest about the relationship between resource depletion and societal division?,The context suggests that resource depletion leads to societal division between the rich and the poor.
640,What is a potential effect of resource depletion on future generations?,Resource depletion could compromise the needs of future generations.
641,How does the context define sustainable existence?,Sustainable existence is defined as a component of sustainable development.
642,Which states in India are rich in minerals and coal deposits?,"Jharkhand, Chhattisgarh, and Madhya Pradesh."
643,What resource is abundant in Arunachal Pradesh?,Water resources.
644,What type of energy is Rajasthan well endowed with?,Solar and wind energy.
645,What are the deficiencies of the cold desert of Ladakh?,"It is deficient in water, infrastructure, and some vital minerals."
646,What is necessary for balanced resource planning?,"Balanced resource planning is needed at the national, state, regional, and local levels."
647,What can hinder development despite the availability of resources?,Technology and institutions may hinder development.
648,What historical factor contributed to the exploitation of resources in colonies?,The higher level of technological development of the colonising countries.
649,What does resource development in India involve besides the availability of resources?,"It involves technology, quality of human resources, and the historical experiences of the people."
650,What is a major concern regarding resource consumption?,Irrational consumption and over-utilisation of resources may lead to socio-economic and environmental problems.
651,Who voiced concerns about resource conservation in India?,Gandhiji.
652,What are the three main processes involved in resource planning in India?,"Identification and inventory of resources, evolving a planning structure, and matching resource development plans with national development plans."
653,When was the First Five Year Plan launched in India?,After Independence.
654,What is a necessary condition for the development of any region?,The availability of resources.
655,What should accompany the availability of resources for effective development?,Corresponding changes in technology and institutional frameworks.
656,What is the role of community participation in resource development?,Community participation helps in developing resources in the surroundings by community/village panchayats.
657,What should be prepared to identify resources in a state?,A list of resources found in the state and identification of important but deficit resources.
658,What is the impact of resource conservation?,It helps to overcome socio-economic and environmental problems.
659,What is the significance of technology in resource development?,Technology is crucial for exploiting resources effectively and ensuring development.
660,What can be a reason for some regions being economically developed despite having a poor resource base?,The presence of appropriate technology and institutional support.
661,What is the importance of resource planning in India?,Resource planning is essential for achieving developmental goals and ensuring sustainable use of resources.
662,What percentage of India's land area is plain?,About 43 percent of the land area is plain.
663,What are the four main relief features of land in India?,"The four main relief features of land in India are mountains, plateaus, plains, and islands."
664,What percentage of India's surface area is accounted for by mountains?,Mountains account for 30 percent of the total surface area of the country.
665,What does the plateau region in India possess?,"The plateau region possesses rich reserves of minerals, fossil fuels, and forests."
666,What are the main purposes for which land resources are used?,"Land resources are used for forests, land not available for cultivation, other uncultivated land, fallow lands, and net sown area."
667,What is meant by 'net sown area'?,Net sown area is the physical extent of land on which crops are sown and harvested.
668,What is the definition of 'gross cropped area'?,Gross cropped area is the area sown more than once in an agricultural year plus net sown area.
669,What factors determine land use patterns in India?,"Land use patterns are determined by physical factors such as topography, climate, soil types, and human factors such as population density, technological capability, and culture."
670,What was the Club of Rome's contribution to resource conservation?,The Club of Rome advocated resource conservation for the first time in a more systematic way in 1968.
671,Who presented Gandhian philosophy regarding resource conservation in 1974?,Schumacher presented Gandhian philosophy regarding resource conservation in his book 'Small is Beautiful' in 1974.
672,What concept did the Brundtland Commission Report introduce in 1987?,The Brundtland Commission Report introduced the concept of 'Sustainable Development' in 1987.
673,What significant event related to resource conservation took place in 1992?,"The Earth Summit at Rio de Janeiro, Brazil took place in 1992."
674,What is the importance of land as a natural resource?,"Land is important as it supports natural vegetation, wildlife, human life, economic activities, transport, and communication systems."
675,Why is it important to use land resources carefully?,It is important to use land resources carefully because land is an asset of finite magnitude.
676,What are the two types of fallow land mentioned in the context?,The two types of fallow land are current fallow and other than current fallow.
677,What does 'current fallow' refer to?,Current fallow refers to land left without cultivation for one or less than one agricultural year.
678,What is included in 'other uncultivated land'?,"Other uncultivated land includes permanent pastures, grazing land, land under miscellaneous tree crops, and cultivable waste land."
679,What is the significance of the phrase 'for everybody’s need and not for anybody’s greed'?,This phrase emphasizes the need for equitable resource distribution and opposes exploitation.
680,What is the role of technology in land use according to the context?,The context suggests that exploitative nature of modern technology contributes to resource depletion.
681,What does the term 'cultivable waste land' refer to?,Cultivable waste land refers to land left uncultivated for more than 5 agricultural years.
682,What is the total geographical area of India?,The total geographical area of India is 3.28 million sq km.
683,What percentage of India's total geographical area has land use data available?,Land use data is available for 93 per cent of the total geographical area.
684,Which states in India have not fully reported land use data?,Most of the north-east states except Assam have not fully reported land use data.
685,What areas of Jammu and Kashmir have not been surveyed for land use?,Some areas of Jammu and Kashmir occupied by Pakistan and China have not been surveyed.
686,What is the percentage of net sown area (NSA) in India when including certain lands?,"When including certain lands, the percentage of NSA in India comes to about 54 per cent of the total reporting area."
687,Which states have over 80 percent net sown area?,Punjab and Haryana have over 80 percent net sown area.
688,Which states have less than 10 percent net sown area?,"Arunachal Pradesh, Mizoram, Manipur, and Andaman Nicobar Islands have less than 10 percent net sown area."
689,What is the desired percentage of forest area in India according to the National Forest Policy (1952)?,The desired percentage of forest area in India is 33 per cent of the geographical area.
690,Why is the forest area in India considered insufficient?,The forest area is considered insufficient for the maintenance of the ecological balance.
691,What has happened to the land under permanent pasture in India?,The land under permanent pasture has decreased.
692,How do we feed the huge cattle population in India given the decrease in pasture land?,The text does not provide a specific answer to this question.
693,What are the consequences of decreased permanent pasture land for cattle?,The text does not provide specific consequences for decreased permanent pasture land.
694,What is the source of the land use data mentioned in the context?,"The source of the land use data is the Directorate of Economics and Statistics, Ministry of Agriculture, 2017."
695,What years are compared in the analysis of changes in net sown area and land under forests?,The years compared are 1960-61 and 2014-15.
696,What is the implication of the marginal change in net sown area and land under forests?,The text suggests a need to analyze why these areas have changed very marginally.
697,What is the significance of the ecological balance mentioned in the context?,The ecological balance is essential for the livelihood of millions of people who live on the land.
698,What is the current status of other fallow lands in India?,Most of the other fallow lands are either of poor quality or the cost of cultivation is high.
699,What does the term 'current fallow lands' refer to in the context?,The text does not define 'current fallow lands' explicitly.
700,What is the overall theme of the context provided?,"The overall theme discusses land use, net sown area, forest area, and ecological balance in India."
701,What are the two categories of land mentioned in the context?,Waste land and land put to other non-agricultural uses.
702,What are some examples of waste land?,"Rocky, arid, and desert areas."
703,What human activities have contributed to land degradation?,"Deforestation, overgrazing, mining, and quarrying."
704,What are the repercussions of continuous land use without conservation measures?,"Land degradation, which has serious repercussions on society and the environment."
705,Which states in India are mentioned as being affected by deforestation due to mining?,"Jharkhand, Chhattisgarh, Madhya Pradesh, and Odisha."
706,"What is one of the main reasons for land degradation in Gujarat, Rajasthan, Madhya Pradesh, and Maharashtra?",Overgrazing.
707,"What causes land degradation in Punjab, Haryana, and western Uttar Pradesh?","Over irrigation leading to water logging, which increases salinity and alkalinity in the soil."
708,What industrial activity generates a huge quantity of dust that affects soil?,Mineral processing like grinding of limestone for cement industry.
709,What are some methods to check land degradation in arid areas?,"Afforestation, proper management of grazing, planting shelter belts of plants, and stabilisation of sand dunes."
710,What is the most important renewable natural resource mentioned in the context?,Soil.
711,How long does it take to form soil up to a few centimeters in depth?,Millions of years.
712,What factors are important in the formation of soil?,"Relief, parent rock or bed rock, climate, vegetation, and other forms of life and time."
713,What natural forces contribute to the formation of soil?,"Change in temperature, actions of running water, wind, glaciers, and activities of decomposers."
714,What is the upper layer of soil called?,Top soil.
715,What is the role of soil in the ecosystem?,It is the medium of plant growth and supports different types of living organisms.
716,What is a major source of land and water pollution mentioned in the context?,Industrial effluents as waste.
717,What can proper management of waste lands help to reduce?,Land and water degradation.
718,What is one method to control overgrazing?,Proper management of grazing.
719,What is the significance of soil as a resource?,"It supports plant growth and various living organisms, making it essential for life."
720,What is the substratum in the soil profile?,Weathered parent rock material.
721,What are the two main components of soil?,Soil consists of organic (humus) and inorganic materials.
722,How are the soils of India classified?,"The soils of India are classified based on factors such as soil formation, colour, thickness, texture, age, and chemical and physical properties."
723,What is the most widely spread and important type of soil in India?,Alluvial soil is the most widely spread and important type of soil in India.
724,Which river systems are responsible for the deposition of alluvial soil in northern plains?,"The Indus, the Ganga, and the Brahmaputra river systems are responsible for the deposition of alluvial soil in northern plains."
725,In which regions of India is alluvial soil found?,"Alluvial soil is found in the northern plains, Rajasthan, Gujarat, and the eastern coastal plains, particularly in the deltas of the Mahanadi, Godavari, Krishna, and Kaveri rivers."
726,What crops are ideally grown in alluvial soil?,"Alluvial soil is ideal for the growth of sugarcane, paddy, wheat, and other cereal and pulse crops."
727,What are the characteristics of black soil?,"Black soil is black in color, ideal for growing cotton, and is made up of extremely fine clayey material."
728,What is another name for black soil?,Black soil is also known as regur soil.
729,What climatic conditions contribute to the formation of black soil?,Climatic conditions along with the parent rock material are important factors for the formation of black soil.
730,Which regions in India are known for black soil?,"Black soil is typical of the Deccan trap region, covering plateaus in Maharashtra, Saurashtra, Malwa, Madhya Pradesh, and Chhattisgarh."
731,What is the capacity of black soil in terms of moisture?,Black soil is well-known for its capacity to hold moisture.
732,What nutrients are black soil rich in?,"Black soil is rich in calcium carbonate, magnesium, potash, and lime."
733,How can alluvial soils be classified based on their age?,Alluvial soils can be classified as old alluvial (Bangar) and new alluvial (Khadar) based on their age.
734,What is the difference between Bangar and Khadar soils?,"Bangar soil has a higher concentration of kanker nodules and is older, while Khadar soil has more fine particles and is more fertile."
735,What happens to the soil particles as one moves inland towards the river valleys?,"As one moves inland towards the river valleys, soil particles appear somewhat bigger in size."
736,Where are coarse soils more common?,"Coarse soils are more common in the upper reaches of the river valley, near the place of the break of slope."
737,What is the significance of alluvial soil in terms of agriculture?,"Due to its high fertility, regions of alluvial soils are intensively cultivated and densely populated."
738,What type of soil is found in drier areas of India?,Soils in the drier areas are more alkaline and can be productive after proper treatment and irrigation.
739,What is the main characteristic of alluvial soil in terms of its composition?,"Alluvial soil consists of various proportions of sand, silt, and clay."
740,What type of landforms contribute to the development of various types of soils in India?,"Varied relief features, landforms, climatic realms, and vegetation types contribute to the development of various types of soils in India."
741,What is the title of the context provided?,India: Major Soil Types
742,In which year is the reprint of the document scheduled?,2024-25
743,What is the subject of the context?,Contemporary India – II
744,How many major soil types are discussed in the context?,8
745,Is the document a reprint or an original publication?,Reprint
746,What educational level does the context pertain to?,Contemporary India – II
747,What is the focus of the document regarding India?,Major Soil Types
748,What does the number '8' signify in the context?,It signifies the number of major soil types.
749,Is the context related to geography or history?,Geography.
750,What is the significance of the year 2024-25 in the context?,It indicates the reprint year.
751,Does the context provide information about soil types in India?,Yes.
752,Is the document likely to be used in an academic setting?,Yes.
753,What type of publication is 'India: Major Soil Types'?,It is an educational document.
754,What can be inferred about the content of the document?,It likely contains information about different soil types found in India.
755,Is the context specific to a certain region of India?,The context does not specify a region; it refers to India as a whole.
756,What educational theme does the context belong to?,Contemporary India.
757,Does the context imply a focus on environmental studies?,"Yes, it relates to soil types which are part of environmental studies."
758,What might be a potential use for the document?,It could be used for educational purposes in geography or environmental science.
759,Is the context likely to include illustrations or maps?,"The context does not specify, but educational documents often include illustrations or maps."
760,What type of information would you expect to find in a document about major soil types?,"Information about characteristics, distribution, and significance of different soil types."
761,What is the primary geographical focus of the context?,The primary focus is on the soil types of India.
762,What is a characteristic of soils during hot weather?,"Soils develop deep cracks during hot weather, which helps in the proper aeration of the soil."
763,What happens to soils when they are wet?,These soils are sticky when wet and difficult to work on unless tilled immediately after the first shower or during the pre-monsoon period.
764,Where does red soil develop?,Red soil develops on crystalline igneous rocks in areas of low rainfall in the eastern and southern parts of the Deccan plateau.
765,What causes the reddish color in red and yellow soils?,These soils develop a reddish colour due to diffusion of iron in crystalline and metamorphic rocks.
766,What is the origin of the term 'laterite'?,Laterite has been derived from the Latin word ‘later’ which means brick.
767,Under what climate does laterite soil develop?,Laterite soil develops under tropical and subtropical climate with alternate wet and dry seasons.
768,What is a major characteristic of lateritic soils?,"Lateritic soils are mostly deep to very deep, acidic (pH<6.0), and generally deficient in plant nutrients."
769,In which regions are lateritic soils mostly found?,"Lateritic soils occur mostly in southern states, Western Ghats region of Maharashtra, Odisha, some parts of West Bengal, and North-east regions."
770,What type of vegetation do lateritic soils support?,"Where these soils support deciduous and evergreen forests, it is humus rich."
771,"What crops are suitable for red laterite soils in Tamil Nadu, Andhra Pradesh, and Kerala?",Red laterite soils in these regions are more suitable for crops like cashew nut.
772,What is the texture of arid soils?,Arid soils are generally sandy in texture and saline in nature.
773,What happens to the salt content in arid soils?,"In some areas, the salt content is very high and common salt is obtained by evaporating the water."
774,What restricts the infiltration of water in arid soils?,The Kankar layer formations in the bottom horizons restrict the infiltration of water.
775,What can make arid soils cultivable?,"After proper irrigation, these soils become cultivable as has been the case in western Rajasthan."
776,Where are forest soils found?,Forest soils are found in the hilly and mountainous areas where sufficient rain forests are available.
777,How does the texture of forest soils vary?,The soil texture varies according to the mountain environment where they are formed.
778,What is the texture of forest soils on valley sides?,They are loamy and silty in valley sides.
779,What is the texture of forest soils on upper slopes?,They are coarse grained in the upper slopes.
780,What is a common feature of forest soils in snow-covered areas?,"The texture of forest soils in snow-covered areas can vary, but they generally adapt to the cold climate."
781,What is the impact of soil conservation techniques on laterite soil?,"After adopting appropriate soil conservation techniques, particularly in the hilly areas of Karnataka, Kerala, and Tamil Nadu, laterite soil is very useful for growing tea and coffee."
782,What is soil erosion described as in the context?,Soil erosion is described as the denudation of the soil cover and subsequent washing down.
783,What factors can disturb the balance between soil formation and erosion?,"Human activities like deforestation, over-grazing, construction, and mining can disturb the balance."
784,What natural forces lead to soil erosion?,"Natural forces like wind, glacier, and water lead to soil erosion."
785,What happens to clayey soils due to running water?,Running water cuts through the clayey soils and makes deep channels as gullies.
786,What is referred to as 'bad land'?,Land that becomes unfit for cultivation due to soil erosion is known as bad land.
787,What are ravines in the context of soil erosion?,"In the Chambal basin, lands that become unfit for cultivation due to soil erosion are called ravines."
788,What is sheet erosion?,"Sheet erosion occurs when water flows as a sheet over large areas down a slope, washing away the top soil."
789,What is wind erosion?,Wind erosion is when wind blows loose soil off flat or sloping land.
790,How can defective farming methods contribute to soil erosion?,"Defective methods of farming, such as ploughing up and down the slope, can form channels for quick water flow leading to soil erosion."
791,What is contour ploughing?,Contour ploughing is ploughing along the contour lines to decelerate the flow of water down the slopes.
792,What is terrace cultivation?,Terrace cultivation involves cutting steps out on slopes to restrict erosion.
793,Where is terrace farming well developed?,Terrace farming is well developed in the western and central Himalayas.
794,What is strip cropping?,Strip cropping is a method where large fields are divided into strips with grass left to grow between the crops to break up the force of the wind.
795,What are shelter belts?,Shelter belts are rows of trees planted to create shelter and stabilize sand dunes and deserts.
796,How have shelter belts contributed to the environment in western India?,Shelter belts have contributed significantly to the stabilization of sand dunes and in stabilizing the desert in western India.
797,What is the impact of soil erosion on land use?,Soil erosion makes land unfit for cultivation.
798,What is the role of grass strips in agriculture?,Grass strips left to grow between crops break up the force of the wind.
799,What can happen to the top soil during sheet erosion?,The top soil is washed away during sheet erosion.
800,What is the effect of ploughing in the wrong way?,"Ploughing in the wrong way can lead to the formation of channels for quick water flow, resulting in soil erosion."
801,What is the relationship between soil formation and erosion?,The processes of soil formation and erosion go on simultaneously and generally there is a balance between the two.
802,What is the definition of 'Resource' according to the context?,"A 'Resource' is everything available in our environment that can be used to satisfy our needs, provided it is technologically accessible, economically feasible, and culturally acceptable."
803,What is involved in the transformation of things available in our environment?,"The transformation involves an interactive relationship between nature, technology, and institutions."
804,How do human beings interact with nature according to the context?,Human beings interact with nature through technology.
805,What role do institutions play in economic development?,Institutions are created to accelerate economic development.
806,Are resources considered free gifts of nature?,"No, resources are not free gifts of nature; they are a function of human activities."
807,Who are considered essential components of resources?,Human beings are considered essential components of resources.
808,How do human beings transform materials into resources?,Human beings transform materials available in our environment into resources and use them.
809,What are the two categories of resources based on origin?,The two categories are biotic and abiotic resources.
810,What are the two categories of resources based on exhaustibility?,The two categories are renewable and non-renewable resources.
811,What are the four categories of resources based on ownership?,"The four categories are individual, community, national, and international resources."
812,What are the three categories of resources based on the status of development?,"The three categories are potential, developed stock, and reserves."
813,What items can be identified as used in making life comfortable in villages and towns?,"The context does not specify items, but it asks to list various items used in making life comfortable."
814,What is the significance of technology in the context of resources?,Technology is significant as it facilitates the interaction between human beings and nature to create resources.
815,What does the term 'exhaustibility' refer to in the classification of resources?,Exhaustibility refers to whether resources can be renewed or are finite.
816,What is meant by 'abiotic' resources?,Abiotic resources are resources that originate from non-living things in the environment.
817,What is the importance of cultural acceptance in defining resources?,Cultural acceptance is important as it determines whether a resource can be utilized within a specific society.
818,What does 'potential' refer to in the context of resource development?,'Potential' refers to resources that are available but not yet developed or utilized.
819,Can you name the types of resources based on their ownership?,"The types of resources based on ownership are individual, community, national, and international."
820,What is the relationship depicted in Fig. 1.1?,"Fig. 1.1 depicts the interdependent relationship between nature, technology, and institutions."
821,What does Fig. 1.2 illustrate?,Fig. 1.2 illustrates the classification of resources.
822,Why are resources considered vital for human survival?,Resources are vital for human survival as well as for maintaining the quality of life.
823,What has led to the depletion of resources according to the context?,The depletion of resources has been caused by the indiscriminate use of resources by human beings to satisfy the greed of a few individuals.
824,What societal division has resulted from the accumulation of resources in few hands?,"The accumulation of resources in few hands has divided society into two segments: the haves and the have nots, or the rich and the poor."
825,What are some global ecological crises mentioned in the context?,"Global ecological crises mentioned include global warming, ozone layer depletion, environmental pollution, and land degradation."
826,Why is equitable distribution of resources essential?,Equitable distribution of resources is essential for a sustained quality of life and global peace.
827,What is the consequence of the current trend of resource depletion?,"If the current trend of resource depletion continues, the future of our planet is in danger."
828,What is the purpose of resource planning?,Resource planning is essential for the sustainable existence of all forms of life.
829,What does sustainable economic development mean?,Sustainable economic development means that development should take place without damaging the environment and should not compromise the needs of future generations.
830,What significant event took place in June 1992 in Rio de Janeiro?,"In June 1992, more than 100 heads of states met in Rio de Janeiro for the first International Earth Summit."
831,What was the main focus of the Rio de Janeiro Earth Summit?,The main focus of the Rio de Janeiro Earth Summit was to address urgent problems of environmental protection and socio-economic development at the global level.
832,What declaration was signed by the leaders at the Earth Summit?,The leaders signed the Declaration on Global Climatic Change and Biological Diversity.
833,What is Agenda 21?,"Agenda 21 is a declaration signed by world leaders in 1992 at the United Nations Conference on Environment and Development, aiming at achieving global sustainable development."
834,What is one major objective of Agenda 21?,One major objective of Agenda 21 is that every local government should draw its own local Agenda 21.
835,Why is planning important in resource management?,"Planning is important for the judicious use of resources, especially in a country like India with enormous diversity in resource availability."
836,What does the context suggest about regions with resource diversity?,The context suggests that there are regions rich in certain types of resources but deficient in others.
837,What is the relationship between sustainable development and the environment?,Sustainable development emphasizes that development should not damage the environment.
838,What are the shared responsibilities mentioned in Agenda 21?,Agenda 21 emphasizes global cooperation on common interests and mutual needs as shared responsibilities.
839,How does the context describe the impact of resource exploitation?,Indiscriminate exploitation of resources has led to various global ecological crises.
840,What is the significance of local Agenda 21 for communities?,Local Agenda 21 is significant as it encourages local governments to create plans that address sustainable development in their areas.
841,What could be a potential survey question regarding people's attitude towards resources?,A potential survey question could be: 'What do you think about the resources you use?'
842,What could be a potential survey question regarding waste utilization?,A potential survey question could be: 'What is your opinion about the wastes and their utilization?'
843,Which states in India are rich in minerals and coal deposits?,"Jharkhand, Chhattisgarh, and Madhya Pradesh."
844,What natural resource is abundant in Arunachal Pradesh?,Water resources.
845,What type of energy resources is Rajasthan endowed with?,Solar and wind energy.
846,What is the main deficiency of the cold desert of Ladakh?,"Water, infrastructure, and some vital minerals."
847,What is necessary for balanced resource planning according to the context?,"Balanced resource planning at the national, state, regional, and local levels."
848,What can hinder development despite the availability of resources?,Technology and institutions.
849,What historical factor contributed to the exploitation of resources in colonies?,The higher level of technological development of the colonising countries.
850,What does resource development in India require besides availability of resources?,Appropriate technological development and institutional changes.
851,What are the consequences of irrational consumption and over-utilisation of resources?,Socio-economic and environmental problems.
852,Who voiced concerns about resource conservation in the past?,Gandhiji.
853,What are the three main components of resource planning in India?,"Identification and inventory of resources, evolving a planning structure, and matching resource development plans with national development plans."
854,What was launched after India's Independence to achieve resource planning goals?,The First Five Year Plan.
855,What is a necessary condition for the development of any region?,The availability of resources.
856,What should be done to overcome problems related to resource over-utilisation?,Resource conservation at various levels.
857,What is the role of community participation in resource development?,It helps in developing resources in the surroundings by community/village panchayats/ward level communities.
858,What should be prepared to identify resources in a state?,A list of resources found in the state.
859,What is important to identify in addition to the resources found in a state?,Resources that are important but deficit in the state.
860,What does the context suggest about regions rich in resources but economically backward?,They exist due to lack of technological development and institutional support.
861,What is the relationship between resource availability and historical experiences of people?,Development involves both resource availability and historical experiences.
862,What is the significance of matching resource development plans with national development plans?,It ensures that resource development aligns with overall national goals.
863,What percentage of India's land area is plain?,About 43 percent of the land area is plain.
864,What are the four main relief features of land in India?,"The four main relief features of land in India are mountains, plateaus, plains, and islands."
865,What percentage of India's total surface area do mountains account for?,Mountains account for 30 percent of the total surface area of the country.
866,What are the main uses of land resources in India?,"Land resources are used for forests, land not available for cultivation, other uncultivated land, fallow lands, and net sown area."
867,What is meant by 'net sown area'?,Net sown area is the physical extent of land on which crops are sown and harvested.
868,What is the gross cropped area?,Gross cropped area is the area sown more than once in an agricultural year plus net sown area.
869,What factors determine land use in India?,"Land use is determined by physical factors such as topography, climate, soil types, and human factors such as population density, technological capability, and culture."
870,What was the main advocacy of the Club of Rome in 1968?,The Club of Rome advocated resource conservation in a systematic way.
871,Who presented Gandhian philosophy in relation to resource conservation in 1974?,Schumacher presented Gandhian philosophy in his book 'Small is Beautiful' in 1974.
872,What significant concept was introduced by the Brundtland Commission Report in 1987?,The concept of 'Sustainable Development' was introduced by the Brundtland Commission Report in 1987.
873,What was the purpose of the Earth Summit held in Rio de Janeiro in 1992?,The Earth Summit at Rio de Janeiro in 1992 aimed to address global environmental issues and promote sustainable development.
874,What is the significance of land as a natural resource?,"Land is significant as it supports natural vegetation, wildlife, human life, economic activities, and transport and communication systems."
875,What is the impact of greedy and selfish individuals on resource depletion?,"Greedy and selfish individuals, along with the exploitative nature of modern technology, are considered root causes for resource depletion at the global level."
876,What is the definition of 'fallow land'?,"Fallow land refers to land that is left uncultivated for a certain period, which includes current fallow and other than current fallow."
877,What is the difference between current fallow and other than current fallow?,"Current fallow is left without cultivation for one or less than one agricultural year, while other than current fallow is left uncultivated for the past 1 to 5 agricultural years."
878,What percentage of India's area is the plateau region?,About 27 percent of the area of the country is the plateau region.
879,What resources does the plateau region possess?,"The plateau region possesses rich reserves of minerals, fossil fuels, and forests."
880,What is the role of mountains in India according to the context?,"Mountains ensure perennial flow of some rivers, provide facilities for tourism, and have ecological aspects."
881,How does land support economic activities?,"Land supports economic activities by providing space for agriculture, industry, and various human activities."
882,Why is it important to use land resources carefully?,It is important to use land resources carefully because land is an asset of finite magnitude.
883,What is the total geographical area of India?,The total geographical area of India is 3.28 million sq km.
884,What percentage of the total geographical area of India has land use data available?,Land use data is available for 93 percent of the total geographical area.
885,Which state in India has fully reported land use data among the north-east states?,Assam is the only north-east state that has fully reported land use data.
886,What is the percentage of net sown area (NSA) in India when including certain lands?,"When including certain lands, the percentage of NSA in India comes to about 54 percent of the total reporting area."
887,In which states is the net sown area over 80 percent of the total area?,The net sown area is over 80 percent of the total area in Punjab and Haryana.
888,Which states have less than 10 percent net sown area?,"Arunachal Pradesh, Mizoram, Manipur, and Andaman Nicobar Islands have less than 10 percent net sown area."
889,What is the desired percentage of forest area in India according to the National Forest Policy (1952)?,The desired percentage of forest area in India is 33 percent of the geographical area.
890,Why is maintaining forest area considered essential?,Maintaining forest area is essential for the maintenance of ecological balance.
